trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,6,-86.37797014838647,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-210.46618184757173,"{0: 18, 1: 6, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-113.1909691264525,"{0: 15, 1: 1, 2: 5, 3: 4, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-110.83271985976141,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,15,-3.756083465289092,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,8,-114.92978409123147,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-39.68403809051586,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-211.32738574931267,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-140.23818691730378,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-55.22915061073346,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-63.50437084718452,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-108.94086091230554,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-84.79191049126779,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-163.22190255136306,"{0: 18, 1: 0, 2: 1, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,16.854597127079618,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-72.97340983459151,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-216.76757284777176,"{0: 16, 1: 0, 2: 2, 3: 3, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,16,-126.68512229497802,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 3}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,18,2.595032382075158,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,5,-28.78493163330789,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,19,14.51465231988836,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,12.90214686766843,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,2,-57.9324053996873,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,3,-50.18139597112955,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,0,-102.76577950640684,"{0: 25, 1: 0, 2: 0, 3: 3, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",20,0,-106.11179845229277,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,14,0.31997774666533285,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-27.44640520255095,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,27,11.262168990123987,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,0,-147.89407520105377,"{0: 22, 1: 0, 2: 3, 3: 3, 4: 2}",0
