trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.999}",25,0,-202.2722979634029,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.005, 'e': 0.99800100000000003}",20,0,-75.8581042040427,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.005, 'e': 0.997002999}",25,0,-252.2987556941586,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 4}",0
4,False,"{'a': 0.005, 'e': 0.99600599600100004}",25,0,-194.40992140259561,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
5,False,"{'a': 0.005, 'e': 0.99500999000499901}",25,0,-169.80539120161208,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.005, 'e': 0.994014980014994}",35,0,-170.4670821588983,"{0: 22, 1: 1, 2: 9, 3: 1, 4: 2}",0
7,False,"{'a': 0.005, 'e': 0.99302096503497905}",25,0,-111.81827519478789,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.005, 'e': 0.99202794406994399}",30,0,-153.89489314321096,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
9,False,"{'a': 0.005, 'e': 0.99103591612587405}",30,0,-174.68595021126166,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.005, 'e': 0.99004488020974823}",20,12,-35.19155742413955,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.005, 'e': 0.98905483532953842}",25,0,-67.72064281930992,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.005, 'e': 0.9880657804942089}",25,0,-127.20121927550944,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
13,False,"{'a': 0.005, 'e': 0.98707771471371475}",20,0,-146.74916434344235,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.98609063699900101}",20,0,-121.56369392376001,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.005, 'e': 0.98510454636200195}",20,0,-115.16395730830995,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.005, 'e': 0.98411944181563993}",20,0,-13.699014695228575,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.005, 'e': 0.98313532237382439}",20,0,-166.6439069634952,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.005, 'e': 0.98215218705145046}",20,0,-160.34154556349552,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.005, 'e': 0.98117003486439902}",20,0,-91.95609281764193,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.005, 'e': 0.98018886482953471}",20,0,-136.17067415784686,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.005, 'e': 0.97920867596470518}",25,6,-73.67910615793285,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.005, 'e': 0.97822946728874038}",20,0,-59.84616564306483,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.005, 'e': 0.97725123782145173}",30,0,-125.74150788644175,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
