trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.999}",20,0,-175.96023128141107,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.005, 'e': 0.99800100000000003}",25,0,-196.13674398997486,"{0: 11, 1: 6, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.005, 'e': 0.997002999}",20,0,-26.804028095096463,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.005, 'e': 0.99600599600100004}",20,0,-58.66577431808733,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.005, 'e': 0.99500999000499901}",20,0,-166.13810143829653,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",1
6,False,"{'a': 0.005, 'e': 0.994014980014994}",20,0,-100.50940972466377,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.005, 'e': 0.99302096503497905}",25,0,-103.31213832756431,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.005, 'e': 0.99202794406994399}",20,0,-76.45991030143357,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.005, 'e': 0.99103591612587405}",25,0,-102.0600246605697,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.005, 'e': 0.99004488020974823}",25,0,-154.691750757639,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.005, 'e': 0.98905483532953842}",30,0,-200.46075246489562,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
12,False,"{'a': 0.005, 'e': 0.9880657804942089}",25,0,-85.06326437513472,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.005, 'e': 0.98707771471371475}",20,0,-133.76372618695936,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.005, 'e': 0.98609063699900101}",25,0,-155.8179927318243,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.005, 'e': 0.98510454636200195}",20,0,-109.35699544328413,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.005, 'e': 0.98411944181563993}",30,0,-169.55941979972604,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
17,False,"{'a': 0.005, 'e': 0.98313532237382439}",20,0,-193.8150579878386,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
18,False,"{'a': 0.005, 'e': 0.98215218705145046}",20,0,-135.55507604477606,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.005, 'e': 0.98117003486439902}",20,0,-40.61348563618614,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.005, 'e': 0.98018886482953471}",20,0,-108.53050529860107,"{0: 12, 1: 4, 2: 0, 3: 3, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-110.61594025005931,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-147.16503893302493,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-133.9095331929364,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-165.51493735523647,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-135.16892361060889,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-75.92628667182817,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-107.73033505029747,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-98.31025598132534,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,4,-101.95454474741375,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-117.24309288281195,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
